product_name,total_price,unit_price,img,link,supermarket
Maltesers Chocolate Box 110g,150.0,£1.36 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7073522/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/maltesers-box-120g,Sainsburys
Maltesers Chocolate Fun Size Bags Multipack 195g,300.0,£1.54 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7153397/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/maltesers-funsize-195g,Sainsburys
Smarties Milk Chocolate Sweets Tube Multipack x4 38g,100.0,66p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7541388/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/smarties-milk-chocolate-sweets-tube-multipack-x4-38g-7541388-p,Sainsburys
Galaxy Smooth Milk Chocolate Bar 110g,150.0,£1.36 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7093375/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/galaxy-milk-chocolate-114g,Sainsburys
Cadbury Twirl Bites Chocolate Bag 109g,100.0,92p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7505026/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-twirl-bites-pouch-109g,Sainsburys
Aero Peppermint Mint Chocolate Bar Multipack x4 27g,150.0,£1.39 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7731536/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aero-peppermint-mint-chocolate-bar-multipack-x4-27g-7731536-p,Sainsburys
Mars Chocolate Bars Multipack 4x39.4g,150.0,95p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7742891/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mars-x4,Sainsburys
M&M's Peanut Chocolate Pouch Bag 125g,150.0,£1.20 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7073481/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/m-ms-peanut-pouch-165g,Sainsburys
Snickers Chocolate Bars Multipack 4x41.7g,150.0,90p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7742899/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/snickers-x4,Sainsburys
Green & Black's Organic Milk Chocolate Bar 90g,150.0,£1.67 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2577678/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/green---blacks-organic-milk-chocolate-100g,Sainsburys
Kinder Chocolate 16x12.5g 200g,200.0,£1.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/6010830/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kinder-chocolate-x16-200g,Sainsburys
Celebrations Chocolate Gift Box 240g,200.0,83p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7707062/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/celebrations-8-famous-chocolate-brands-245g,Sainsburys
Mars Chocolate Snack Size Bars Multipack 9x33.8g,200.0,66p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7742887/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mars-x9,Sainsburys
Lindt Excellence Dark 90% Cocoa Chocolate Bar 100g,200.0,£2.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7003710/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lindt-excellence-dark-90-cocoa-chocolate-bar-100g,Sainsburys
